velocity,ultrasonic,tof,rate_of_change,label
0.46,56.44,91,-0.006,0
0.44,55.77,90,-0.134,0
0.46,55.69,92,-0.016,0
0.44,55.72,91,0.006,0
0.4,55.62,90,-0.02,0
0.39,55.96,90,0.068,0
0.37,55.24,92,-0.144,0
0.37,55,93,-0.048,0
0.37,54.28,91,-0.144,0
0.35,54.19,94,-0.018,0
0.33,54.16,93,-0.006,0
0.34,54.45,94,0.058,0
0.34,54.38,90,-0.014,0
0.34,53.15,92,-0.246,0
0.33,53.17,94,0.004,0
0,53.22,36,0,0
0,53.61,84,0.078,0
0.06,53.8,92,0.038,0
0.11,54.26,92,0.092,0
0.12,53.99,91,-0.054,0
0.13,53.9,95,-0.018,0
0.13,53.75,91,-0.03,0
0.15,53.29,95,-0.092,0
0.18,53.1,91,-0.038,0
0.18,53.1,92,0,0
0.18,53.04,92,-0.012,0
0.18,53.03,90,-0.002,0
0.12,52.98,89,-0.01,0
0.07,53.1,93,0.024,0
0.07,53.32,91,0.044,0
0.06,53.42,90,0.02,0
0.06,53.44,90,0.004,0
0.04,53.34,95,-0.02,0
0.01,53.41,91,0.014,0
0.01,53.25,93,-0.032,0
0.02,53.37,92,0.024,0
0.03,53.2,94,-0.034,0
0.03,53.82,95,0.124,0
0.03,53.85,94,0.006,0
0.02,54.06,92,0.042,0
0.02,54.01,93,-0.01,0
0.02,53.99,94,-0.004,0
0.02,54.07,95,0.016,0
0.02,54.14,92,0.014,0
0.02,54.18,94,0.008,0
0.01,54.16,95,-0.004,0
0.01,54.23,96,0.014,0
0.01,54.43,94,0.04,0
0.03,53.7,93,-0.146,0
0.04,53.44,96,-0.052,0
0.04,53.17,92,-0.054,0
0.04,53.13,93,-0.008,0
0.04,52.99,92,-0.028,0
0.07,52.53,94,-0.092,0
0.1,53.1,91,0.114,0
0.1,53.06,91,-0.008,0
0.11,53.15,92,0.018,0
0.11,53.99,94,0.168,0
0.09,53.77,95,-0.044,0
0.08,53.83,94,0.012,0
0.1,53.73,92,-0.02,0
0.1,52.84,92,-0.178,0
0.09,52.41,91,-0.086,0
0.07,52.31,91,-0.02,0
0.06,51.79,90,-0.104,0
0.06,52.05,89,0.052,0
0.11,52.03,91,-0.004,0
0.11,52.1,92,0.014,0
0.13,52.12,90,0.004,0
0.13,52.24,92,0.024,0
0.12,52.14,91,-0.02,0
0.15,52.12,90,-0.004,0
0.16,52.62,92,0.1,0
0.17,52.14,90,-0.096,0
0.17,52.41,88,0.054,0
0.18,52.41,88,0,0
0.12,52.89,90,0.096,0
0.11,52.84,89,-0.01,0
0.1,53.04,92,0.04,0
0.12,53.22,92,0.036,0
0.12,54.59,95,0.274,0
0.08,54.52,94,-0.014,0
0.07,54.73,94,0.042,0
0.06,55,97,0.054,0
0.04,55.07,96,0.014,0
0.03,55.24,97,0.034,0
0.03,53.83,92,-0.282,0
0.03,53.44,93,-0.078,0
0.03,53.61,94,0.034,0
0.01,53.71,91,0.02,0
0,53.77,92,0.012,0
0,53.89,92,0.024,0
0,53.95,93,0.012,0
0,54.01,93,0.012,0
0,53.08,91,-0.186,0
0,53.01,91,-0.014,0
0,53.25,92,0.048,0
0,52.72,92,-0.106,0
0,52.79,94,0.014,0
0,52.91,92,0.024,0
0,53.04,92,0.026,0
0,53.1,92,0.012,0
0,53.18,93,0.016,0
0,53.08,91,-0.02,0
0,52.92,91,-0.032,0
0,53.53,94,0.122,0
0,53.65,91,0.024,0
0,53.82,92,0.034,0
0,53.75,92,-0.014,0
0,53.8,91,0.01,0
0,53.68,89,-0.024,0
0,53.9,94,0.044,0
0,53.97,93,0.014,0
0,53.99,92,0.004,0
0,53.99,92,0,0
0,53.97,94,-0.004,0
0,53.99,95,0.004,0
0,53.77,93,-0.044,0
0,53.71,91,-0.012,0
0.14,53.53,99,-0.036,0
0.17,53.53,92,0,0
0.17,53.59,94,0.012,0
0.19,53.29,92,-0.06,0
0.19,53.58,92,0.058,0
0.19,53.58,94,0,0
0.19,53.85,94,0.054,0
0.2,53.83,93,-0.004,0
0.2,53.95,94,0.024,0
0.21,54.13,94,0.036,0
0.07,54.11,94,-0.004,0
0.04,54.19,91,0.016,0
0.1,54.3,94,0.022,0
0.1,54.37,91,0.014,0
0.1,54.38,96,0.002,0
0,68.79,34,0,3
0.03,69.05,86,0.052,3
0.1,69.01,92,-0.008,3
0.2,68.91,98,-0.02,3
0.29,43.63,96,-5.056,3
0.37,69.61,92,5.196,3
0.46,70.14,98,0.106,3
0.53,68.55,95,-0.318,3
0.62,67.16,92,-0.278,3
0.72,66.3,97,-0.172,3
0.78,58.74,95,-1.512,3
0.84,65.87,96,1.426,3
0.82,66.1,97,0.046,3
0.8,66.95,93,0.17,3
0.77,64.83,96,-0.424,3
0.74,63.94,95,-0.178,3
0.76,64.71,92,0.154,3
0.76,64.12,98,-0.118,3
0.73,64.79,93,0.134,3
0.73,64.71,98,-0.016,3
0.75,65.05,99,0.068,3
0.77,64.09,93,-0.192,3
0.78,63.51,99,-0.116,3
0.8,64.24,92,0.146,3
0.81,63.3,96,-0.188,3
0.82,61.96,93,-0.268,3
0.77,60.85,98,-0.222,3
0.77,60.66,91,-0.038,3
0.76,60.13,91,-0.106,3
0.76,60.78,96,0.13,3
0.71,59.96,96,-0.164,3
0.67,59.8,96,-0.032,3
0.66,61.26,94,0.292,3
0.62,59.22,99,-0.408,3
0.59,60.23,95,0.202,3
0.61,59.94,96,-0.058,3
0.61,58.28,93,-0.332,3
0.59,58.26,98,-0.004,3
0.64,60.49,94,0.446,3
0.62,57.3,95,-0.638,3
0.63,60.83,96,0.706,3
0.64,56.78,97,-0.81,3
0.66,55.03,94,-0.35,3
0.68,55.19,98,0.032,3
0.62,55.03,97,-0.032,3
0.66,54.16,97,-0.174,3
0.65,58.45,97,0.858,3
0.61,54.81,102,-0.728,3
0.6,54.07,95,-0.148,3
0.6,54.02,98,-0.01,3
0.64,54.13,92,0.022,3
0.63,52.74,98,-0.278,3
0.64,54.85,94,0.422,3
0.66,53.51,100,-0.268,3
0.72,51.21,94,-0.46,3
0.7,51.4,100,0.038,3
0.72,50.99,100,-0.082,3
0.76,50.35,98,-0.128,3
0.77,50.35,99,0,3
0.76,47.8,100,-0.51,3
0.76,49.87,98,0.414,3
0.73,49.13,102,-0.148,3
0.7,49.2,97,0.014,3
0.66,49.63,99,0.086,3
0.61,48.05,97,-0.316,3
0.59,48.29,102,0.048,3
0.6,48.84,98,0.11,3
0.58,49.03,112,0.038,3
0.54,48.89,112,-0.028,3
0.5,48.77,110,-0.024,3
0.45,48.67,110,-0.02,3
0.44,48.74,110,0.014,3
0.4,48.86,110,0.024,3
0.4,48.36,111,-0.1,3
0.38,47.78,110,-0.116,3
0.33,48.35,109,0.114,3
0.29,47.83,109,-0.104,3
0.31,47.66,108,-0.034,3
0.27,47.73,111,0.014,3
0.3,47.61,110,-0.024,3
0.3,47.44,109,-0.034,3
0.29,47.04,110,-0.08,3
0.36,47.51,108,0.094,3
0.33,47.2,112,-0.062,3
0.36,49.03,110,0.366,3
0.37,46.67,110,-0.472,3
0.42,46.27,109,-0.08,3
0.42,45.58,97,-0.138,3
0.48,48.83,96,0.65,3
0.46,45.34,98,-0.698,3
0.47,44.35,94,-0.198,3
0.49,44.93,97,0.116,3
0.46,44.11,95,-0.164,3
0.5,44.18,113,0.014,3
0.5,44.02,115,-0.032,3
0.57,43.65,115,-0.074,3
0.5,43.58,111,-0.014,3
0.52,42.84,109,-0.148,3
0.46,42.86,110,0.004,3
0.5,42.43,110,-0.086,3
0.5,42.29,110,-0.028,3
0.55,42.03,109,-0.052,3
0.56,42.31,110,0.056,3
0.55,41.86,110,-0.09,3
0.54,41.14,108,-0.144,3
0.47,40.95,114,-0.038,3
0.55,40.7,113,-0.05,3
0.48,40.63,114,-0.014,3
0.54,40.54,114,-0.018,3
0.48,40.05,110,-0.098,3
0.51,39.99,115,-0.012,3
0.48,39.39,110,-0.12,3
0.45,39.7,109,0.062,3
0.46,39.19,109,-0.102,3
0.45,38.66,107,-0.106,3
0.47,37.32,109,-0.268,3
0.4,36.99,113,-0.066,3
0.82,20,95.6,0,2
0.87,20,87.67,0,2
0.85,20,78.5,0,2
0.88,20,72.56,0,2
0.88,20,61.99,0,2
